,text,aspectCategory,polarity
33,"Raga's is a romantic, cozy restaurant.",ambience,positive
34,The fried rice is amazing here.,food,positive
35,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,positive
36,it's a perfect place to have a amanzing indian food.,food,positive
37,The place is so cool and the service is prompt and curtious.,ambience,positive
38,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive
39,I just wonder how you can have such a delicious meal for such little money.,food,positive
40,The food was delicious but do not come here on a empty stomach.,food,conflict
41,The wine list is excellent.,food,positive
42,so garantuan that you can't fit them in a toaster.,food,positive
43,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,positive
44,They wouldnt even let me finish my glass of wine before offering another.,service,positive
45,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",service,negative
46,"Nice atmosphere, the service was very pleasant and the desert was good.",ambience,positive
47,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",ambience,positive
48,Try the lasagnette appetizer.,food,positive
49,"Pricey, but worth a try, at least once.",price,negative
50,I liked the beer selection!,food,positive
51,"Great food, good size menu, great service and an unpretensious setting.",ambience,positive
52,Wine list selection is good and wine-by-the-glass was generously filled to the top.,food,positive
53,"With the great variety on the menu , I eat here often and never get bored .",food,positive
54,The menu is very limited - i think we counted 4 or 5 entrees.,food,negative
55,The menu is limited but almost all of the dishes are excellent.,food,conflict
56,Not too crazy about their sake martini.,food,negative
57,"Great bagels, spreads and a good place to hang out in.",food,positive
58,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict
59,"whoever the jazz duo was, they were on POINT.",ambience,positive
60,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,service,positive
61,This place is a great bargain.,price,positive
62,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
63,We always have a delicious meal and always leave feeling satisfied.,food,positive
64,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",food,neutral
65,First went here to enjoy their garden terrace.,ambience,positive
66,"My husbands was perfect, my was well done and dry.",food,conflict
67,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",service,positive
68,The pizza was pretty good and huge.,food,positive
69,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",food,neutral
70,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,ambience,positive
71,They are often crowded on the weekends but they are efficient and accurate with their service.,ambience,negative
72,All my co-workers were amazed at how small the dish was.,food,negative
73,"The atmosphere is unheralded, the service impecible, and the food magnificant.",ambience,positive
74,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative
75,"The wait staff is friendly, and the food has gotten better and better!",service,positive
76,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",ambience,conflict
77,Right off the L in Brooklyn this is a nice cozy place with good pizza.,ambience,positive
78,I've never been treated so rudely.,service,negative
79,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,food,positive
80,I also ordered for delivery and the restaurant forgot half the order.,service,negative
81,Our server checked on us maybe twice during the entire meal.,service,negative
82,We had the lobster sandwich and it was FANTASTIC.,food,positive
83,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",service,negative
84,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive
85,Deep Fried Skewers are good and still rare to find in NYC.,food,positive
86,"I have tried to make reservations, but both times, the hostess didn't have my name.",service,negative
87,I also recommend the rice dishes or the different varieties of congee (rice porridge).,food,positive
88,Their tuna tartar appetizer is to die for.,food,positive
89,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,positive
90,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",food,positive
91,I love Indian food and consider myself to be quite an expert on it.,food,positive
92,Some baby pizzas get their wish.,food,neutral
93,Plenty of choices to make your own creation.,food,positive
94,It was tiny and I felt like I was eating in someone's living room.,ambience,negative
95,Overall A oh ya even though there is waiting it is deff worth it,service,negative
96,The lava cake dessert was incredible and I recommend it.,food,positive
97,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative
98,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,price,positive
99,good selection of wines ranging from affordable to high end.,price,conflict
100,"Nice restaurant overall, with classic upscale Italian decor.",ambience,positive
101,Not impressed with the food.,food,negative
102,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,food,positive
103,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive
104,"Order the panang duck, it's fantastic.",food,positive
105,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",food,conflict
106,"Other than the crappy service from two individuals, it's great.",service,conflict
107,They have authentic Indian at amazin prices.,price,positive
108,You are treated just like royality.,service,positive
109,"There's nice and quiet, small but enough for 6 (or more).",ambience,conflict
110,Ambiance- relaxed and stylish.,ambience,positive
111,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",food,positive
112,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food,negative
113,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",ambience,negative
114,and yes Dal Bukhara is so dam good and so are all the kababs.,food,positive
115,I've been coming here as a child and always come back for the taste.,food,positive
116,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,ambience,positive
117,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",food,positive
118,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,negative
119,The food always tastes fresh and served promptly.,service,positive
120,The pizza here is delicious.,food,positive
121,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",service,positive
122,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",food,positive
123,But who says Murray's is anything about service.,service,neutral
124,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative
125,Hats off to the chef.,food,positive
126,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative
127,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",food,positive
128,Its an excellent place to relax and the food is one of the best in the city of New York.,ambience,positive
129,"service is friendly, and never had a problem walking in and getting a table.",service,positive
130,The atmosphere was crowded but it was a great bistro-type vibe.,ambience,conflict
131,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",service,negative
132,The food was bland oily.,food,negative
133,"What is even better, is that the prices are very affordable as well, and the food is really good.",price,positive
134,The fish is fresh but the variety of fish is nothing out of ordinary.,food,conflict
135,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",food,positive
136,"And Kruno, the beverage manager is the best bartender I have yet to come across.",service,positive
137,"Ambiance and music funky, which I enjoy.",ambience,positive
138,"The food, drinks and service are clearly among the best in the city.",service,positive
139,"It's a really great deal, considering we got full off of four dollars.",price,positive
140,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive
141,"Last time I went here, the waitress didn't come back after taking our order.",service,negative
142,Try the tandoori salmon!,food,positive
143,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",ambience,positive
144,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",ambience,negative
145,I love the atmorphere @ peep!,ambience,positive
146,The service was attentive and her suggestions of menu items was right on the mark.,service,positive
147,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,food,positive
148,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",food,positive
149,It's a rather cramped and busy restaurant and it closes early.,ambience,negative
150,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",ambience,positive
151,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",food,positive
152,They were served warm and had a soft fluffy interior.,food,positive
153,What came to our table was burned beyond recognition and stringy.,food,negative
154,I had the Pad Thai and the noodles were sticky.,food,negative
155,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",price,positive
156,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",food,positive
157,The hostess is rude to the point of being offensive.,service,negative
158,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",service,negative
159,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",ambience,negative
160,The food is great.,food,positive
161,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,food,positive
162,"Lunch came with pickels and slaw, no extra charge.",price,positive
163,Decent wine at reasonable prices.,price,positive
164,All conveniently delivered right to the door.,service,positive
165,even the wine by the glass was good.,food,positive
166,would have rather tried terrace in the sky or water club for that price,price,negative
167,This dish is my favorite and I always get it when I go there and never get tired of it.,food,positive
168,"I also ordered the Change Mojito, which was out of this world.",food,positive
169,Okay service.,service,neutral
170,The only thing more wonderful than the food (which is exceptional) is the service.,service,positive
171,"The food was just awful, ATROCIOUS actually.",food,negative
172,The soup for the udon was soy sauce and water.,food,negative
173,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",food,positive
174,The waitress suggested glasses of wine that went very well with the food.,service,positive
175,"They might be all business at the counter when you give your order, but their food says I love you.",service,negative
176,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",food,positive
177,Try their plain pizza with fresh garlic or eggplant.,food,positive
178,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",service,conflict
179,The service is awful.,service,negative
180,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",food,positive
181,"Trust me, it will be great, and all of it will be devoured in no time.",food,positive
182,Amma has the worst value for money I have experienced in NYC over the past 2 years.,price,negative
183,I think this would be a pretty good spot if it were not so overpriced and overrated.,price,negative
184,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,service,positive
185,The pizza is good though.,food,positive
186,bottles of wine are cheap and good.,food,positive
187,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,positive
188,They didn't give us the dinner special until we asked for it.,service,negative
189,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,food,positive
190,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",food,positive
191,Very good service and very good prices.,price,positive
192,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive
193,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,food,positive
194,Our food was great too!,food,positive
195,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",service,negative
196,"Please try the Filet Mignon, its just the most tender piece ever.",food,positive
197,"Everything we had was pretty good, but we have only been there once.",food,positive
198,The sake menu should not be overlooked!,food,positive
199,the drinks are amazing and half off till 8pm.,price,positive
200,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,food,positive
201,"The service, wine selection, ambiance are all outstanding and deserve recognition.",service,positive
202,It was rather pathetic that it took them over an hour to seat us.,service,negative
203,"We were seated promptly as we had reservations, however after that the service was slow.",service,conflict
204,"It's really also the service, is good and the waiters are friendly.",service,positive
205,"The food was pretty good, but a little flavorless and the portions very small, including dessert.",food,conflict
206,"It is set far from the small street it's on, and there is no traffic noise.",ambience,positive
207,"Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.",ambience,neutral
208,I felt as though I were eating in Paris.,ambience,positive
209,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,food,positive
210,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",service,positive
211,Nice value.,price,positive
212,And it was quick which is very important.,service,positive
213,All the NYU students love this place so it makes for a fun young atmosphere.,ambience,positive
214,The food here does a great service to the name (Cantonese that is...).,food,positive
215,"But, nothing stands out about the cooking.",food,neutral
216,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,food,positive
217,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,price,positive
218,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",food,negative
219,"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",food,positive
220,Always busy but fast moving.,ambience,conflict
221,Too bad the food wasn't of the same heritage.,food,negative
222,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",service,negative
223,"The food was really good, I had the onion soup and it was one of the best ever.",food,positive
224,I'm not picky - but it was actually gross.,food,negative
225,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",price,positive
226,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",ambience,negative
227,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",food,conflict
228,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",price,negative
229,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",food,positive
230,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",service,negative
231,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",food,negative
232,Also they were $15 each!,price,negative
233,"The service is ok, some of the people didn't get what they asked for.",service,conflict
234,If you want good authentic Thai this place is not the place to go.,food,negative
235,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,food,neutral
236,"If you want some roast duck, pork or chicken on rice with ginger, try them out!",food,positive
237,Staff is very accomodating.,service,positive
238,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).,food,positive
239,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,service,positive
240,Not pretentious and very economical.,price,positive
241,"The food was terrific and the service classy, attentive, without being overbearing.",service,positive
242,This is an amazing place to try some roti rolls.,food,positive
243,Fresh ingredients and everything is made to order.,food,positive
244,"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",service,positive
245,Quick and friendly service.,service,positive
246,"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system.",food,conflict
247,Somewhat pricey but what the heck.,price,negative
248,"It's true, this place is not cheap.",price,negative
249,"Try the hot dogs too, they're snappy and delicious.",food,positive
250,Delivery is fast too.,service,positive
251,"The noise level was unbearable, conversation impossible.",ambience,negative
252,Personal pans are the perfect size for those hungry nights.,food,positive
253,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,food,positive
254,The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,price,positive
255,"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",ambience,neutral
256,just got back from lunch at Tamarind and it was excellent.,food,positive
257,"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",food,positive
258,"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",service,negative
259,Try the cheesecake!,food,positive
260,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,food,negative
261,Great Indian food and the service is incredible.,service,positive
262,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",ambience,positive
263,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",food,conflict
264,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,food,negative
265,"Especially liked chicken tikka and the naan, and the dals.",food,positive
266,The waiters were not attentive except that the bill turned up on the table before we were finished.,service,negative
267,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,ambience,positive
268,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",service,conflict
269,We generally like good restaurants and eat out often but Kai was way to expensive for what we got.,price,negative
270,The sangria was pretty tasty and good on a hot muggy day.,food,positive
271,"For the people who want great food plus great service, Roxy is a place to AVOID!",service,negative
272,I had the best ravioli ever.,food,positive
273,"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.",food,conflict
274,Ive been here a bunch of times now and the service is always outstanding.,service,positive
275,The bill is approximately $25 for 2 at lunch without drinks.,price,neutral
276,"Quite frankly, this is some of the worst sushi I have ever tried.",food,negative
277,"The food is great, service is ok.",service,neutral
278,"The overall price tag was very very expensive, something I did expect.",price,negative
279,"Spice is great Thai food, love the inexpensive appetizers.",price,positive
280,Even after they overcharged me the last time I was there.,service,negative
281,The service was attentive.,service,positive
282,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",food,positive
283,Fish was overdone.,food,negative
284,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",ambience,positive
285,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,service,positive
286,also make sure you pay attention to the music being piped in - quite a weird selection.,ambience,neutral
287,The establishment scores big points in presentation and style.,ambience,positive
288,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",price,negative
289,Good food.,food,positive
290,"The wait staff is very friendly, if not overly efficient.",service,positive
291,The dim sum however was very good.,food,positive
292,Service has always been friendly and efficient.,service,positive
293,Went there and had a combination of different seafood dishes and appetizers.,food,neutral
294,All we received was an apology as we left to see our show without dinner.,service,negative
295,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,service,negative
296,Prices are very good.,price,positive
297,"We could not catch our waiter's eye, and he ignored us.",service,negative
298,Plain and simple it's bad thai food.,food,negative
299,They refuse to seat parties of 3 or more on weekends.,service,negative
300,Usually 3 vs. 4 items per dish.,food,neutral
301,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",food,conflict
302,"The Dim Sum was so-so, but not spectacular.",food,neutral
303,The food was so-so.,food,neutral
304,"The waitress, seems to be more concerned of looking good than actually waitressing.",service,negative
305,"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",ambience,positive
306,What a ripoff!,price,negative
307,Food-awesome.,food,positive
308,"good music, great food, speedy service affordable prices.",price,positive
309,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,food,conflict
310,"May, the owner always has a smile on her and will warmly greet you.",service,positive
311,The sides were ok and incredibly salty.,food,negative
312,"For some reason, all the seafood on the menu was unavailable except for the Salmon.",food,negative
313,"Not a large place, but it's cute and cozy.",ambience,conflict
314,"The beverages were excellent, and the dessert was good.",food,positive
315,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,service,negative
316,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",food,conflict
317,I must say the view of NYC is so beautiful!,ambience,positive
318,"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.",food,positive
319,"Otherwise, this place has great service and prices and a nice friendly atmosphere.",ambience,positive
320,Highly recommend this as great value for excellent sushi and service.,price,positive
321,This place would be so much better served by being run by a group that actually understands customer service.,service,negative
322,A++   The service was good to excellent along with the attitude.,service,positive
323,The food is awesome - definitely try the striped bass.,food,positive
324,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.",ambience,conflict
325,black white shakes came out good also.,food,positive
326,"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",ambience,negative
327,I ordered the chu chu curry and my friend ordered the pad thai chicken.,food,neutral
328,We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,food,neutral
329,"However, they've got the most amazing pastrami and the soups hit the spot.",food,positive
330,Great bagels made the old-fashioned way.,food,positive
331,"This is some really good, inexpensive sushi.",price,positive
332,"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",food,positive
333,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative
334,For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,service,negative
335,The pizza is delicious and the proprietor is one of the nicest in NYC.,service,positive
336,For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,price,negative
337,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",price,positive
338,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,service,positive
339,The setting is casual and romantic.,ambience,positive
340,"Terrible, terrible management - deserves to be shut-down.",service,negative
341,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,positive
342,The desserts are more appealing then stuffy overpriced French restaurants.,food,positive
343,"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",service,conflict
344,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",service,conflict
345,"I found the food to be outstanding, particulary the salmon dish I had.",food,positive
346,Mizu is home to creative and unique rolls not to found anywhere else.,food,positive
347,Baluchi's has solid food and a nice decor at reasonable prices.,price,positive
348,"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",service,positive
349,"Moules were excellent, lobster ravioli was VERY salty!",food,conflict
350,I came to this restaurant expecting to be surprised but left bored and overcharged.,price,negative
351,"A cheap eat for NYC, but not for dosa.",price,conflict
352,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,ambience,negative
353,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",food,positive
354,i don't usually order wine with indian so i can't comment on their wine list or their wines.,food,neutral
355,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,food,positive
356,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",price,negative
357,"Really though, where's the seasoning?",food,negative
358,"The food was just OK, at least for what food was available.",food,negative
359,The waitress was very patient with us and the food is phenomenal!,service,positive
360,"The ambience was nice, but service wasn't so great.",ambience,positive
361,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",service,positive
362,The people that work there are always so friendly you forget you are in New York sometimes.,service,positive
363,"We didn't even see a menu, as our waiter described both the specials and the main dishes.",service,positive
364,The location and ambience is Ok but the food is what makes up for it.,ambience,neutral
365,"otherwise, good stuff for late nite eats.",food,positive
366,"The dinner was ok, nothing I would have again.",food,negative
367,It is thick and slightly soggy.,food,negative
368,Its not the same if you have to sit inside.,ambience,neutral
369,I love and I know gourmet food by excellence!,food,positive
370,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",food,positive
371,Great people watching as others do the same to you.,ambience,positive
372,"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",food,positive
373,He offers subpar service and has no personality.,service,negative
374,"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",food,positive
375,Diner food at bistro prices is a bummer....,price,negative
376,"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",food,positive
377,"The first time the sushi was outstanding, the second time it was a little bland.",food,conflict
378,The portions are large and the servers always surprise us with a different starter.,service,positive
379,"delicious bagels, especially when right out of the oven.",food,positive
380,All the food was hot tasty.,food,positive
381,This is one great place to eat pizza more out but not a good place for take-out pizza.,food,conflict
382,Our server was very helpful and friendly.,service,positive
383,Try green curry with vegetables.,food,positive
384,Would recommend this place as a good date spot if you don't want to drop a ton of cash.,price,positive
385,While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!,service,positive
386,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",ambience,negative
387,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",service,positive
388,Much more reasonably priced too!,price,positive
389,"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",food,negative
390,Why make a reservation if you aren't going to keep it?,service,negative
391,"The Pad Thai is excellent here, as well.",food,positive
392,Big and gawky on the outside.,ambience,negative
393,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,food,negative
394,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",food,positive
395,"For $760 for 2 people, it's a once in a lifetime experience.",price,negative
396,"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",food,neutral
397,We had the pot-stickers which were great and a tempura dish that was great.,food,positive
398,I think the stuff was better than Disney.,service,positive
399,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",price,positive
400,"Orsay, is without a doubt one of the best values for authentic French food in NYC.",food,positive
401,I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!,service,negative
402,"Well, their deliveries take for ever and the food is usually cold.",service,negative
403,The staff is no nonsense.,service,positive
